,region_name,decade,n_new_cultural_producers,score,pop (millions),n_new_cultural_producers_per_million_hab
380,Chinese world,1860,456.1,54,190.6391,2.3924787727176637
381,Chinese world,1870,380.0,40,181.7595,2.0906747652804945
382,Chinese world,1880,410.3,41,185.33339999999998,2.213848124515063
383,France,550,4.2,1,5.8243,0.7211167007193998
384,France,630,5.3,1,5.9444,0.8915954511809434
385,France,650,5.6,1,5.9745,0.9373169302870533
386,France,760,6.2,1,6.139600000000001,1.0098377744478466
387,France,780,6.1,1,6.1697,0.9887028542716826
388,France,810,11.8,2,6.2147,1.898723993113103
389,France,820,5.8,1,6.2297,0.9310239658410516
390,France,830,11.5,2,6.2447,1.8415616442743448
391,France,840,34.0,6,6.2598,5.431483433975526
392,France,850,5.6,1,6.2748,0.8924587237840249
393,France,860,11.0,2,6.2898000000000005,1.7488632388947183
394,France,880,52.3,5,6.3198,8.275578341086742
395,France,910,29.4,1,6.3649,4.619082782133262
396,France,930,4.9,1,6.3949,0.76623559398896
397,France,940,4.8,1,6.4098999999999995,0.7488416355949391
398,France,980,22.9,5,6.47,3.5394126738794434
399,France,1000,15.0,3,6.521100000000001,2.3002254220913647
400,France,1020,17.8,4,6.84,2.60233918128655
401,France,1030,4.4,1,7.01,0.6276747503566334
402,France,1040,8.9,2,7.18,1.2395543175487467
403,France,1080,48.2,10,7.86,6.132315521628499
404,France,1090,22.5,5,8.03,2.8019925280199254
405,France,1100,27.2,6,8.2,3.3170731707317076
406,France,1110,9.1,2,8.37,1.087216248506571
407,France,1120,35.9,7,8.54,4.203747072599532
408,France,1130,18.7,4,8.71,2.1469575200918483
409,France,1140,443.0,39,8.88,49.887387387387385
410,France,1150,19.1,4,9.05,2.110497237569061
411,France,1160,108.5,8,9.22,11.767895878524945
412,France,1170,100.5,6,9.39,10.702875399361021
413,France,1180,600.2,43,9.56,62.78242677824268
414,France,1190,34.7,2,9.73,3.5662898252826314
415,France,1200,425.4,29,9.9,42.96969696969697
416,France,1210,148.6,8,10.07,14.756703078450844
417,France,1220,441.3,23,10.24,43.095703125
418,France,1230,59.6,6,10.41,5.725264169068204
419,France,1240,1046.8,60,10.58,98.94139886578449
420,France,1250,156.5,7,10.75,14.55813953488372
421,France,1260,304.6,17,10.92,27.893772893772898
422,France,1270,59.2,5,11.09,5.3381424706943195
423,France,1280,524.4,38,11.26,46.57193605683837
424,France,1290,68.4,6,11.43,5.984251968503938
425,France,1300,223.4,25,11.6,19.258620689655174
426,France,1310,19.7,3,11.77,1.67374681393373
427,France,1320,111.0,17,11.94,9.296482412060302
428,France,1330,34.4,5,12.11,2.8406275805119736
429,France,1340,520.7,28,12.28,42.402280130293164
430,France,1350,28.9,4,12.45,2.321285140562249
431,France,1360,88.6,8,12.62,7.020602218700476
432,France,1370,18.2,3,12.79,1.422986708365911
433,France,1380,525.9,28,12.96,40.5787037037037
434,France,1390,18.8,2,13.13,1.4318354912414317
435,France,1400,358.8,18,13.3,26.977443609022554
