,individual_wikidata_id,individual_name,score,productive_year,birthyear,country_name,region_name,period
4524,Q3576147,Zou Yigui,25,1721.0,1686.0,China,Chinese world,1650
4525,Q11067115,Huiyan Zhang,19,1796.0,1761.0,China,Chinese world,1750
4526,Q15888775,Zhongtong Fang,7,1669.0,1634.0,China,Chinese world,1600
4527,Q45707391,Qian Lingfen,2,1870.0,1835.0,China,Chinese world,1800
4528,Q45597748,Liu Guangqi,2,1791.0,1756.0,China,Chinese world,1750
4529,Q58431,Milarepa,56,1087.0,1052.0,China,Chinese world,1050
4530,Q10918860,Qingchi Wu,12,1883.0,1848.0,China,Chinese world,1800
4531,Q197295,Zhang Tingyu,25,1707.0,1672.0,China,Chinese world,1650
4532,Q45696358,Zhou Mei,3,1547.0,1512.0,China,Chinese world,1500
4533,Q20063011,Lü Tiancheng,11,1615.0,1580.0,China,Chinese world,1550
4534,Q11043376,Tu Zhuo,4,1816.0,1781.0,China,Chinese world,1750
4535,Q45687393,Ma Suzhen,3,1771.0,1736.0,China,Chinese world,1700
4536,Q13668070,Pan Zengying,12,1843.0,1808.0,China,Chinese world,1800
4537,Q10944799,Sun Xingyan,21,1788.0,1753.0,China,Chinese world,1750
4538,Q11069736,Peng Shiwang,2,1645.0,1610.0,China,Chinese world,1600
4539,Q1291953,Guo Xiang,27,287.0,252.0,China,Chinese world,250
4540,Q7967522,Wang Laiquan,2,1870.0,1835.0,China,Chinese world,1800
4541,Q110083633,Chen Zhi,2,1328.0,1293.0,China,Chinese world,1250
4542,Q28409456,Yin Jiabin,1,1607.0,1572.0,China,Chinese world,1550
4543,Q3090484,Fu Shan,37,1642.0,1607.0,China,Chinese world,1600
4544,Q3787747,Huìguān,2,385.0,350.0,China,Chinese world,350
4545,Q45691070,Wu Zongai,4,1674.0,1650.0,China,Chinese world,1650
4546,Q716369,Jia Dan,10,765.0,730.0,China,Chinese world,700
4547,Q45482943,Xie Xiusun,3,1663.0,1628.0,China,Chinese world,1600
4548,Q45511568,Wu Xiaogu,3,1852.0,1825.0,China,Chinese world,1800
4549,Q16076458,Lin Gudu,4,1615.0,1580.0,China,Chinese world,1550
4550,Q6539084,Li Shixing,9,1317.0,1282.0,China,Chinese world,1250
4551,Q10918606,Wu Renchen,16,1663.0,1628.0,China,Chinese world,1600
4552,Q18324254,Huang Han,1,1426.0,1391.0,China,Chinese world,1350
4553,Q45452921,Zhang Lunying,4,1833.0,1798.0,China,Chinese world,1750
4554,Q45698200,Yang Yunhui,3,1867.0,1832.0,China,Chinese world,1800
4555,Q10543449,Lu Zhen,11,992.0,957.0,China,Chinese world,950
4556,Q65800572,Chu Shi,2,1515.0,1480.0,China,Chinese world,1450
4557,Q11172617,Bao Zhizhong,4,1775.0,1740.0,China,Chinese world,1700
4558,Q10948168,Aixinjueluo Shengyu,5,1885.0,1850.0,China,Chinese world,1850
4559,Q3082953,Guo Yuanzhen,3,691.0,656.0,China,Chinese world,650
4560,Q45476712,Xu Shuying,4,1655.0,1620.0,China,Chinese world,1600
4561,Q15926393,Ma Wei,5,1656.0,1621.0,China,Chinese world,1600
4562,Q45454914,Duan  Shuqing,3,1545.0,1510.0,China,Chinese world,1500
4563,Q698925,Li Shizhen,34,1552.0,1517.0,China,Chinese world,1500
4564,Q1041328,Gong Zizhen,30,1827.0,1792.0,China,Chinese world,1750
4565,Q455589,Meng Haoran,40,725.0,690.0,China,Chinese world,650
4566,Q11102342,Shijun Hang,23,1731.0,1696.0,China,Chinese world,1650
4567,Q5049015,Caspar Castner,2,1690.0,1655.0,China,Chinese world,1650
4568,Q45524865,Huang Zhishu,2,1827.0,1792.0,China,Chinese world,1750
4569,Q45504455,Xu Zonglu,2,1525.0,1490.0,China,Chinese world,1450
4570,Q9886,Emperor Yizong of Tang,10,868.0,833.0,China,Chinese world,800
4571,Q4388724,Zhao Yi,24,1762.0,1727.0,China,Chinese world,1700
4572,Q45448445,Lv Qianheng,3,1688.0,1653.0,China,Chinese world,1650
4573,Q11067558,Zhang Weiping,14,1815.0,1780.0,China,Chinese world,1750
4574,Q45517525,Wu Liniang,4,1771.0,1736.0,China,Chinese world,1700
4575,Q7225539,Du Qiuniang,3,785.0,750.0,China,Chinese world,750
4576,Q10889489,Chu Zaiwen,2,1703.0,1668.0,China,Chinese world,1650
4577,Q6382372,Sikong Tu,23,872.0,837.0,China,Chinese world,800
4578,Q700068,Wang Mian,29,1322.0,1287.0,China,Chinese world,1250
4579,Q6395605,Keuh Agong,2,1820.0,1785.0,China,Chinese world,1750
4580,Q98970752,You Yin,4,1767.0,1732.0,China,Chinese world,1700
4581,Q3206035,Yu Zhiding,13,1682.0,1647.0,China,Chinese world,1600
4582,Q698174,Li Zhaodao,8,710.0,675.0,China,Chinese world,650
4583,Q945333,Tang Xianzu,43,1585.0,1550.0,China,Chinese world,1550
4584,Q741512,Dai Jin,27,1423.0,1388.0,China,Chinese world,1350
4585,Q3237555,Li Liufang,23,1610.0,1575.0,China,Chinese world,1550
4586,Q3571072,Xue Susu,4,1599.0,1564.0,China,Chinese world,1550
4587,Q707875,Fang Xiaoru,23,1392.0,1357.0,China,Chinese world,1350
4588,Q12526388,Abdurahim Nizoriy,1,1805.0,1770.0,China,Chinese world,1750
4589,Q5209048,Dai Xi,21,1836.0,1801.0,China,Chinese world,1800
4590,Q3315279,Zheng Ruozeng,8,1538.0,1503.0,China,Chinese world,1500
4591,Q3287200,Mao Yuanyi,18,1629.0,1594.0,China,Chinese world,1550
4592,Q3276928,Empress Dowager Feng,3,477.0,442.0,China,Chinese world,400
4593,Q11091305,Cao Xibao,4,1754.0,1719.0,China,Chinese world,1700
4594,Q11097685,Li Fu,23,1708.0,1673.0,China,Chinese world,1650
4595,Q1562448,Su Xiaoxiao,3,501.0,479.0,China,Chinese world,450
4596,Q708659,Zhao Zhiqian,39,1864.0,1829.0,China,Chinese world,1800
4597,Q15924981,Qin Songling,6,1672.0,1637.0,China,Chinese world,1600
4598,Q45503932,Zhu Zhongmei,9,1657.0,1622.0,China,Chinese world,1600
4599,Q10514369,Yu Xi,1,316.0,281.0,China,Chinese world,250
4600,Q7561039,Song Qiqiu,8,922.0,887.0,China,Chinese world,850
4601,Q4720391,Alexander Williamson,22,1864.0,1829.0,China,Chinese world,1800
4602,Q3424695,Ren Xun,16,1870.0,1835.0,China,Chinese world,1800
4603,Q31754,Huang Zongxi,44,1645.0,1610.0,China,Chinese world,1600
4604,Q10503843,Fan Peng,17,1307.0,1272.0,China,Chinese world,1250
4605,Q835818,Wen Zhenheng,21,1620.0,1585.0,China,Chinese world,1550
4606,Q9452128,Chenweng Liu,18,1267.0,1232.0,China,Chinese world,1200
4607,Q45684078,Liu Huijuan,3,1865.0,1830.0,China,Chinese world,1800
4608,Q45369541,Bo Ting,4,1283.0,1248.0,China,Chinese world,1200
4609,Q11096060,Li Zonghan,3,1805.0,1770.0,China,Chinese world,1750
4610,Q627017,Wang Shifu,27,1285.0,1250.0,China,Chinese world,1250
4611,Q110176368,Peng Nian,2,1540.0,1505.0,China,Chinese world,1500
4612,Q15913733,Xichan Wang,13,1663.0,1628.0,China,Chinese world,1600
4613,Q3700732,Cui Shu,22,1775.0,1740.0,China,Chinese world,1700
4614,Q3095236,Gao Kegong,26,1283.0,1248.0,China,Chinese world,1200
4615,Q9622865,Wu Longhan,4,1268.0,1233.0,China,Chinese world,1200
4616,Q10944304,Kong Guangsen,11,1786.0,1753.0,China,Chinese world,1750
4617,Q6230250,John Dudgeon,9,1872.0,1837.0,China,Chinese world,1800
4618,Q722288,Shao Yong,37,1047.0,1012.0,China,Chinese world,1000
4619,Q45673379,Yun Juechu,2,1607.0,1572.0,China,Chinese world,1550
4620,Q16077138,Shi Yunyu,5,1790.0,1755.0,China,Chinese world,1750
4621,Q378564,Wang Xizhi,45,338.0,303.0,China,Chinese world,300
4622,Q835720,Wang Dayuan,14,1346.0,1311.0,China,Chinese world,1300
4623,Q8073956,Zong Chen,14,1560.0,1525.0,China,Chinese world,1500
4624,Q45653997,Wang Youliang,4,1777.0,1742.0,China,Chinese world,1700
4625,Q24203363,Edouard-Ernest Maire,6,1883.0,1848.0,China,Chinese world,1800
4626,Q1285773,Yan Zhitui,25,566.0,531.0,China,Chinese world,500
4627,Q28416938,Ashabuhua,3,1298.0,1263.0,China,Chinese world,1250
4628,Q11658403,Chen Yuzhong,6,1797.0,1762.0,China,Chinese world,1750
4629,Q840344,He Chengtian,11,405.0,370.0,China,Chinese world,350
4630,Q16128647,Shi Ke,8,985.0,950.0,China,Chinese world,950
4631,Q45517655,Tan Guangyao,3,1784.0,1749.0,China,Chinese world,1700
4632,Q835918,Zhang Sengyou,5,585.0,550.0,China,Chinese world,550
4633,Q10087736,Yao Xie,3,1840.0,1805.0,China,Chinese world,1800
4634,Q267350,Michał Boym,30,1647.0,1612.0,China,Chinese world,1600
4635,Q3237589,Li Yin,5,1645.0,1610.0,China,Chinese world,1600
4636,Q16260685,Dong Sizhang,9,1621.0,1586.0,China,Chinese world,1550
4637,Q4843146,Bai Minzhong,4,827.0,792.0,China,Chinese world,750
4638,Q18118833,Wang Xian,2,1470.0,1435.0,China,Chinese world,1400
4639,Q8059998,Yu Zhengxie,19,1810.0,1775.0,China,Chinese world,1750
4640,Q45689278,Guo Wenzhen,2,1771.0,1736.0,China,Chinese world,1700
4641,Q1367928,Wen Tingyun,26,847.0,812.0,China,Chinese world,800
4642,Q31765,Fan Zhen,3,485.0,450.0,China,Chinese world,450
4643,Q16075667,Du Mu,19,1493.0,1458.0,China,Chinese world,1450
4644,Q5103853,Choghtu Khong Tayiji,6,1616.0,1581.0,Mongolia,Chinese world,1550
4645,Q45475248,Zuo Xijia,5,1866.0,1831.0,China,Chinese world,1800
4646,Q856223,Li He,34,816.0,790.0,China,Chinese world,750
4647,Q714270,Zhang Yanyuan,18,850.0,815.0,China,Chinese world,800
4648,Q45457268,Su Yuan,2,1761.0,1726.0,China,Chinese world,1700
4649,Q733082,Guo Shoujing,19,1266.0,1231.0,China,Chinese world,1200
4650,Q181474,Teodorico Pedrini,26,1706.0,1671.0,China,Chinese world,1650
4651,Q2470693,Ke Jiusi,23,1325.0,1290.0,China,Chinese world,1250
4652,Q65799459,Liu Shi,2,1661.0,1628.0,China,Chinese world,1600
4653,Q10947658,Song Shusheng,7,1878.0,1843.0,China,Chinese world,1800
4654,Q45414461,Ma Zhongxin,3,1295.0,1260.0,China,Chinese world,1250
