,individual_wikidata_id,birthyear,classification,region_name
454,Q106163109,1842,,United Kingdom
455,Q56167761,1828,Subsistence,United Kingdom
456,Q4766537,1801,,United Kingdom
457,Q42302995,1775,,United Kingdom
458,Q1232410,1804,Elite,United Kingdom
459,Q433405,1755,Middle Class,United Kingdom
460,Q321419,1719,Middle Class,United Kingdom
461,Q5543043,1785,Middle Class,United Kingdom
462,Q4941129,1807,Middle Class,United Kingdom
463,Q21400462,1564,,United Kingdom
464,Q16943898,1841,,United Kingdom
465,Q1474478,1750,Middle Class,United Kingdom
466,Q18811047,1771,Elite,United Kingdom
467,Q18912515,1812,,United Kingdom
468,Q2577471,1824,Middle Class,United Kingdom
469,Q7609498,1817,Middle Class,United Kingdom
470,Q5341966,1610,Middle Class,United Kingdom
471,Q6223791,1566,,United Kingdom
472,Q20669603,1845,,United Kingdom
473,Q21513287,1835,,United Kingdom
474,Q15889913,1815,,United Kingdom
475,Q4982698,1779,Middle Class,United Kingdom
476,Q4865234,1537,Middle Class,United Kingdom
477,Q437075,1826,Middle Class,United Kingdom
478,Q18923331,1819,Middle Class,United Kingdom
479,Q15994310,1809,,United Kingdom
480,Q2086404,1748,Middle Class,United Kingdom
481,Q353238,1819,Middle Class,United Kingdom
482,Q5728598,1829,Middle Class,United Kingdom
483,Q6225267,1723,,United Kingdom
484,Q18576017,1650,,United Kingdom
485,Q18922399,1849,,United Kingdom
486,Q5724865,1830,,United Kingdom
487,Q21464405,1846,,United Kingdom
488,Q18783919,1663,,United Kingdom
489,Q28698130,1832,,United Kingdom
490,Q64685843,1827,,United Kingdom
491,Q1701631,1695,,United Kingdom
492,Q21453111,1848,,United Kingdom
493,Q17423642,1790,,United Kingdom
494,Q6215093,1705,,United Kingdom
495,Q346950,1748,Middle Class,United Kingdom
496,Q8006246,1743,,United Kingdom
497,Q55999,1833,Middle Class,United Kingdom
498,Q6244929,1809,Middle Class,United Kingdom
499,Q437594,1753,Middle Class,United Kingdom
500,Q8017853,1821,Middle Class,United Kingdom
501,Q4800650,1816,,United Kingdom
502,Q3185688,1739,Middle Class,United Kingdom
503,Q18528102,1614,Elite,United Kingdom
504,Q5077219,1836,Middle Class,United Kingdom
505,Q5344541,1797,Subsistence,United Kingdom
506,Q2850565,1844,Middle Class,United Kingdom
507,Q20821103,1794,,United Kingdom
508,Q49899276,1834,,United Kingdom
509,Q704285,1586,Middle Class,United Kingdom
510,Q18575951,1838,,United Kingdom
511,Q7344784,1704,Middle Class,United Kingdom
512,Q97120123,1532,Elite,United Kingdom
513,Q2543048,1680,,United Kingdom
514,Q3503915,1768,Subsistence,United Kingdom
515,Q7610233,1774,Middle Class,United Kingdom
516,Q18604434,1823,,United Kingdom
517,Q563069,1780,Middle Class,United Kingdom
518,Q16252299,1726,,United Kingdom
519,Q18527683,1735,,United Kingdom
520,Q18672009,1784,,United Kingdom
521,Q2424824,1689,Middle Class,United Kingdom
522,Q4772114,1672,Middle Class,United Kingdom
523,Q608262,1802,Middle Class,United Kingdom
524,Q18527727,1576,Middle Class,United Kingdom
525,Q531876,1708,Middle Class,United Kingdom
526,Q151799,1691,Middle Class,United Kingdom
527,Q5216875,1776,,United Kingdom
528,Q4237837,1795,Elite,United Kingdom
529,Q4720362,1836,Middle Class,United Kingdom
530,Q21607583,1818,Middle Class,United Kingdom
531,Q6239769,1727,Middle Class,United Kingdom
532,Q21165670,1801,,United Kingdom
533,Q6219650,1720,Middle Class,United Kingdom
534,Q2268720,1839,Middle Class,United Kingdom
535,Q27089346,1831,,United Kingdom
536,Q27050351,1625,,United Kingdom
537,Q20733091,1849,Middle Class,United Kingdom
538,Q18577000,1825,,United Kingdom
539,Q1973898,1721,,United Kingdom
540,Q18576703,1770,,United Kingdom
541,Q20733356,1768,,United Kingdom
542,Q18671952,1803,Middle Class,United Kingdom
543,Q106674070,1848,,United Kingdom
544,Q7411419,1773,,United Kingdom
545,Q6287026,1832,Subsistence,United Kingdom
546,Q18729980,1829,,United Kingdom
547,Q575253,1789,Middle Class,United Kingdom
548,Q10305051,1818,,United Kingdom
549,Q18413788,1565,,United Kingdom
550,Q21459923,1714,,United Kingdom
551,Q7945706,1830,Middle Class,United Kingdom
552,Q54371038,1797,,United Kingdom
553,Q1607516,1838,Middle Class,United Kingdom
554,Q8014085,1807,Middle Class,United Kingdom
555,Q2833128,1822,Middle Class,United Kingdom
556,Q7787361,1596,Middle Class,United Kingdom
557,Q64685771,1846,Elite,United Kingdom
558,Q18529136,1779,Middle Class,United Kingdom
559,Q19409121,1847,Middle Class,United Kingdom
560,Q3290537,1804,,United Kingdom
561,Q21166593,1721,Elite,United Kingdom
562,Q76216717,1801,Middle Class,United Kingdom
563,Q432717,1844,Elite,United Kingdom
564,Q6221178,1847,,United Kingdom
565,Q7351202,1679,Middle Class,United Kingdom
566,Q5722978,1837,Middle Class,United Kingdom
567,Q7329333,1617,Middle Class,United Kingdom
568,Q313866,1564,Middle Class,United Kingdom
569,Q5294751,1839,,United Kingdom
570,Q2614632,1711,,United Kingdom
571,Q18912584,1849,Elite,United Kingdom
572,Q7527111,1778,Elite,United Kingdom
573,Q7347000,1530,,United Kingdom
574,Q2013887,1713,Elite,United Kingdom
575,Q6144471,1802,Middle Class,United Kingdom
576,Q64685725,1844,Elite,United Kingdom
577,Q1526460,1798,,United Kingdom
578,Q20734396,1690,,United Kingdom
579,Q4208518,1740,Middle Class,United Kingdom
580,Q7791515,1799,Middle Class,United Kingdom
581,Q7147395,1754,,United Kingdom
582,Q16059324,1848,Middle Class,United Kingdom
583,Q99671552,1809,,United Kingdom
584,Q1389094,1704,Middle Class,United Kingdom
585,Q611821,1835,Middle Class,United Kingdom
586,Q820627,1720,Middle Class,United Kingdom
587,Q27924404,1850,,United Kingdom
588,Q7793130,1831,Middle Class,United Kingdom
589,Q11685204,1722,Middle Class,United Kingdom
590,Q16857978,1833,,United Kingdom
591,Q4798601,1848,,United Kingdom
592,Q20734643,1777,,United Kingdom
593,Q16240082,1795,,United Kingdom
594,Q3568663,1799,Middle Class,United Kingdom
595,Q64685684,1843,,United Kingdom
596,Q42322068,1844,,United Kingdom
597,Q213756,1805,,United Kingdom
598,Q5341887,1825,Middle Class,United Kingdom
599,Q3133106,1760,Middle Class,United Kingdom
600,Q42295290,1811,Middle Class,United Kingdom
601,Q7342871,1806,,United Kingdom
602,Q27207765,1822,,United Kingdom
603,Q15430232,1620,Elite,United Kingdom
604,Q16065453,1809,Middle Class,United Kingdom
605,Q6131468,1622,,United Kingdom
606,Q8010942,1685,,United Kingdom
607,Q469844,1707,Middle Class,United Kingdom
608,Q18917481,1823,,United Kingdom
609,Q7794189,1795,Middle Class,United Kingdom
610,Q5718707,1836,Middle Class,United Kingdom
611,Q20746841,1750,,United Kingdom
612,Q20507244,1844,,United Kingdom
613,Q4340887,1842,,United Kingdom
614,Q94733510,1840,,United Kingdom
615,Q4756982,1832,Middle Class,United Kingdom
616,Q1400158,1845,Middle Class,United Kingdom
617,Q52155242,1841,Elite,United Kingdom
618,Q5991023,1810,Elite,United Kingdom
619,Q134150,1844,Elite,United Kingdom
620,Q3308072,1746,Middle Class,United Kingdom
621,Q3376446,1826,Middle Class,United Kingdom
622,Q18936200,1755,Middle Class,United Kingdom
623,Q2427280,1711,,United Kingdom
624,Q742371,1849,Middle Class,United Kingdom
625,Q5219099,1643,,United Kingdom
626,Q605320,1807,Middle Class,United Kingdom
627,Q983704,1842,Middle Class,United Kingdom
628,Q6212398,1830,,United Kingdom
629,Q107654193,1824,,United Kingdom
630,Q7966297,1825,Middle Class,United Kingdom
631,Q5718906,1826,Subsistence,United Kingdom
632,Q3938434,1795,Middle Class,United Kingdom
633,Q18917624,1837,,United Kingdom
634,Q20966407,1842,Middle Class,United Kingdom
635,Q16863841,1600,,United Kingdom
636,Q5537907,1832,Middle Class,United Kingdom
637,Q6239480,1764,Middle Class,United Kingdom
638,Q1489851,1842,Middle Class,United Kingdom
639,Q64685859,1825,,United Kingdom
640,Q27825439,1754,,United Kingdom
641,Q6235309,1722,Elite,United Kingdom
642,Q352725,1751,Middle Class,United Kingdom
643,Q5711903,1818,,United Kingdom
644,Q11951781,1590,,United Kingdom
645,Q26208684,1829,Middle Class,United Kingdom
646,Q18917507,1827,Middle Class,United Kingdom
647,Q7792737,1825,,United Kingdom
648,Q10978349,1714,,United Kingdom
649,Q41401946,1821,,United Kingdom
650,Q18531083,1772,,United Kingdom
651,Q5721138,1844,Middle Class,United Kingdom
652,Q1288869,1654,Elite,United Kingdom
